Hochschul_Name,NAME_1
Aachen TH,Aachen
Augsburg U,Augsburg
Bamberg U,Bamberg
Bayreuth U,Bayreuth
Berlin FU,Berlin
Berlin HU,Berlin
Berlin TU,Berlin
Berlin UdK,Berlin
Bielefeld U,Bielefeld
Bochum U,Bochum
Bonn U,Bonn
Braunschweig HBK,Braunschweig
Braunschweig TU,Braunschweig
Bremen U,Bremen
Chemnitz TU,Chemnitz
Clausthal TU,Clausthal-Zellerfeld
Cottbus-Senftenberg TU,Cottbus
Darmstadt TU,Darmstadt
Dortmund TU,Dortmund
Dresden TU,Dresden
Duisburg-Essen U,Essen
Düsseldorf U,Düsseldorf
Eichstätt - Ingolstadt U,Eichstätt
Erfurt U,Erfurt
Erlangen-Nürnberg U,Erlangen
Essen UdK,Essen
Flensburg U,Flensburg
Frankfurt am Main PhThH,Frankfurt am Main
Frankfurt am Main U,Frankfurt am Main
Frankfurt (Oder) U,Frankfurt (Oder)
Freiberg TUBergAk,Freiberg
Freiburg HfM,Freiburg
Freiburg PH,Freiburg
Freiburg U,Freiburg
Friedrichshafen ZU,Friedrichshafen
Fulda ThFak,Fulda
Giessen U,Gießen
Göttingen U,Göttingen
Greifswald U,Greifswald
Hagen FernU,Hagen
Halle-Wittenberg U,Halle
Hamburg BLS,Hamburg
Hamburg HCU,Hamburg
Hamburg TU,Hamburg
Hamburg U,Hamburg
Hamburg UBw,Hamburg
Hannover HfMTM,Hannover
Hannover MedH,Hannover
Hannover TiHo,Hannover
Hannover U,Hannover
Heidelberg PH,Heidelberg
Heidelberg U,Heidelberg
Hildesheim U,Hildesheim
Hohenheim U,Stuttgart
Ilmenau TU,Ilmenau
Jena U,Jena
Kaiserslautern-Landau RPTU,Kaiserslautern
Karlsruhe PH,Karlsruhe
Karlsruhe U KIT,Karlsruhe
Kassel U,Kassel
Kiel U,Kiel
Koblenz U,Koblenz
Köln DSHS,Köln
Köln U,Köln
Konstanz U,Konstanz
Leipzig HHL,Leipzig
Leipzig U,Leipzig
Lübeck U,Lübeck
Ludwigsburg PH,Ludwigsburg
Lüneburg U,Lüneburg
Magdeburg U,Magdeburg
Mainz U,Mainz
Mannheim U,Mannheim
Marburg U,Marburg
München HPhil,München
München TUM,München
München U,München
München UBw,Neubiberg
Münster KuAk,Münster
Münster U,Münster
Neuendettelsau KiH,Neuendettelsau
Oldenburg U,Oldenburg
Osnabrück U,Osnabrück
Paderborn ThFak,Paderborn
Paderborn U,Paderborn
Passau U,Passau
Potsdam U,Potsdam
Regensburg U,Regensburg
Rostock HMT,Rostock
Rostock U,Rostock
Saarbrücken U,Saarbrücken
Schwäbisch Gmünd PH,Schwäbisch Gmünd
Siegen U,Siegen
Speyer DUV,Speyer
Stuttgart AkdBK,Stuttgart
Stuttgart U,Stuttgart
Trier ThFak,Trier
Trier U,Trier
Tübingen U,Tübingen
Ulm U,Ulm
Vallendar VP-Uni,Vallendar
Vallendar WHU,Vallendar
Vechta U,Vechta
Weimar U,Weimar
Weingarten PH,Weingarten
Wiesbaden EBS,Wiesbaden
Witten/ Herdecke U,Witten
Wuppertal KiH,Wuppertal
Wuppertal U,Wuppertal
Würzburg U,Würzburg
