NAME_1,DurchschnittsAlter
Mecklenburg-Vorpommern,1793.1666666666666667
Sachsen,1884.1428571428571429
Bayern,1910.3111111111111111
Baden-Württemberg,1923.5774647887323944
Sachsen-Anhalt,1926.8181818181818182
Hessen,1929.2941176470588235
Schleswig-Holstein,1933.2307692307692308
Thüringen,1941.5714285714285714
Niedersachsen,1943.8620689655172414
Rheinland-Pfalz,1944.6842105263157895
Nordrhein-Westfalen,1952.1492537313432836
Bremen,1969.1428571428571429
Berlin,1969.6571428571428571
Saarland,1972.6666666666666667
Hamburg,1979.7894736842105263
Brandenburg,1987.85
