Aachen FH,Fachhochschule Aachen,14086,1971,http://www.fh-aachen.de
Aachen TH,Rheinisch-Westfälische Technische Hochschule Aachen,45527,1870,https://www.rwth-aachen.de
Aalen H,Hochschule Aalen - Technik und Wirtschaft,4559,1962,http://www.hs-aalen.de
Albstadt-Sigmaringen H,Hochschule Albstadt-Sigmaringen,2666,1971,www.hs-albsig.de
Alfter HfKuG,Alanus Hochschule für Kunst und Gesellschaft,1564,1973,https://www.alanus.edu/de/home
Amberg-Weiden OTH,Ostbayerische Technische Hochschule Amberg-Weiden,4077,1994,http://www.oth-aw.de/
Anhalt H,Hochschule Anhalt - Anhalt University of Applied Sciences,7067,1991,http://www.hs-anhalt.de
Ansbach H,Hochschule für angewandte Wissenschaften Ansbach,3898,1996,http://www.hs-ansbach.de
Aschaffenburg TH,Technische Hochschule Aschaffenburg,3559,1995,http://www.th-ab.de
Augsburg TH,Technische Hochschule Augsburg,7025,1710,https://www.tha.de/
Augsburg U,Universität Augsburg,19089,1970,http://www.uni-augsburg.de
Backnang EHIP,EHIP - Europäische Hochschule für Innovation und Perspektive,,2022,https://www.ehip.eu/
Baden-Württemberg HfPol (Verw),Hochschule für Polizei Baden-Württemberg,2337,,https://www.hfpol-bw.de/index.php/villingen-schwenningen
Baden-Württemberg HRecht (Verw),Hochschule für Rechtspflege Schwetzingen,716,1953,"http://www.hfr-bw.de/pb/,Lde/Startseite"
Baden-Württemberg HVerw/Finanzen(Verw),Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg,2792,1999,https://www.hs-ludwigsburg.de/
Baden-Württemberg HVerw (Verw),Hochschule für öffentliche Verwaltung Kehl,1421,1971,https://www.hs-kehl.de/
Bad Homburg accadisFH,accadis Hochschule Bad Homburg,448,1980,https://www.accadis.com/contact.aspx
Bad Liebenzell IHL,Internationale Hochschule Liebenzell (IHL),305,2011,http://www.ihl.eu
Bamberg U,Otto-Friedrich-Universität Bamberg,10734,1647,http://www.uni-bamberg.de/
Bayern HföD (Verw),Hochschule für den öffentlichen Dienst in Bayern,4907,,https://www.hfoed.bayern.de/
Bayreuth HfKiM,Hochschule für evangelische Kirchenmusik der Evangelisch-Lutherischen Kirche in Bayern,26,2000,http://www.hfk-bayreuth.de
Bayreuth U,Universität Bayreuth,11924,1972,http://www.uni-bayreuth.de
Berlin Akkon,Akkon-Hochschule,1406,2009,http://www.akkon-hochschule.de
Berlin ASH,Alice Salomon Hochschule Berlin,4299,1971,http://www.ash-berlin.eu
Berlin bbw,bbw Hochschule,822,2007,http://www.bbw-hochschule.de
Berlin BC,"Bard College Berlin, A Liberal Arts University",312,1999,http://www.berlin.bard.edu
Berlin BHT,Berliner Hochschule für Technik,12296,1971,https://www.bht-berlin.de/
Berlin BIU,Berlin International University of Applied Sciences,530,2014,http://www.berlin-international.de/
Berlin BSA,Barenboim-Said Akademie,77,2016,www.barenboimsaid.de
Berlin BSP,BSP Business and Law School - Hochschule für Management und Recht,1750,2009,https://www.businessschool-berlin.de/
Berlin CODE,CODE University of Applied Sciences,610,2017,https://code.berlin/de/
Berlin DBU,Digital Business University of Applied Sciences,282,2018,https://dbuas.de/
Berlin DHGS,DHGS Deutsche Hochschule für Gesundheit und Sport,1865,2007,https://dhgs-hochschule.de
Berlin ESCP,ESCP Europe Wirtschaftshochschule Berlin e.V.,1254,1819,http://www.escp.eu
Berlin ESMT,ESMT European School of Management and Technology,820,2002,http://www.esmt.org/en/home
Berlin EvH,Evangelische Hochschule Berlin,1696,1904,http://www.eh-berlin.de
Berlin FHTouro,Touro College Berlin,129,2003,http://www.touroberlin.de
Berlin FU,Freie Universität Berlin,42090,1948,http://www.fu-berlin.de
Berlin Hertie,Hertie School,716,2004,https://www.hertie-school.org/en/
