100,Nordrhein-Westfalen,Aachen,Bayernallee 11,52066
101,Nordrhein-Westfalen,Aachen,Templergraben 55,52062
102,Baden-Württemberg,Aalen,Beethovenstraße 1,73430
103,Baden-Württemberg,Sigmaringen,Anton-Günther-Straße 51,72488
104,Nordrhein-Westfalen,Alfter,Villestraße 3,53347
105,Bayern,Amberg,Kaiser-Wilhelm-Ring 23,92224
106,Sachsen-Anhalt,Köthen,Bernburger Straße 55,6366
107,Bayern,Ansbach,Residenzstraße 8,91522
108,Bayern,Aschaffenburg,Würzburger Straße 45,63743
109,Bayern,Augsburg,An der Hochschule 1,86161
110,Bayern,Augsburg,Universitätsstraße 2,86159
111,Baden-Württemberg,Backnang,Willy-Brandt-Platz 2,71522
112,Baden-Württemberg,Villingen-Schwenningen,Sturmbühlstraße 250,78054
113,Baden-Württemberg,Schwetzingen,Karlsruher Straße 2,68723
114,Baden-Württemberg,Ludwigsburg,Reuteallee 36,71634
115,Baden-Württemberg,Kehl,Kinzigallee 1,77694
116,Hessen,Bad Homburg,SÜDCAMPUS Bad Homburg Am Weidenring 4,61352
117,Baden-Württemberg,Bad Liebenzell,Heinrich-Coerper-Weg 11,75378
118,Bayern,Bamberg,Kapuzinerstr. 25,96047
119,Bayern,München,Wagmüllerstraße 20,80538
120,Bayern,Bayreuth,Wilhelminenstraße 9,95444
121,Bayern,Bayreuth,Universitätsstraße 30,95447
122,Berlin,Berlin,Colditzstraße 34-36,12099
123,Berlin,Berlin,Alice-Salomon-Platz 5,12627
124,Berlin,Berlin,Wagner-Régeny-Straße 21,12489
125,Berlin,Berlin,Platanenstrasse 24,13156
126,Berlin,Berlin,Luxemburger Str. 10,13353
127,Berlin,Berlin,Salzufer 6,10587
128,Berlin,Berlin,Französische Straße 33D,10117
129,Berlin,Berlin,Calandrellistraße 1-9,12247
130,Berlin,Berlin,Lohmühlenstr. 65,12435
131,Berlin,Berlin,Oranienstr. 185,10999
132,Berlin,Berlin,Franklinstr. 28-29,10587
133,Berlin,Berlin,Heubnerweg 8-10,14059
134,Berlin,Berlin,Schlossplatz 1,10178
135,Berlin,Berlin,Teltower Damm 118-122,14167
136,Berlin,Berlin,Am Rupenhorn 5,14055
137,Berlin,Berlin,Kaiserswerther Str. 16-18,14195
138,Berlin,Berlin,"Quartier 110, Friedrichstraße 180",10117
139,Berlin,Berlin,Charlottenstraße 55,10117
140,Berlin,Berlin,Zinnowitzer Straße 11,10115
141,Berlin,Berlin,Ackerstraße 76,13355
142,Berlin,Berlin,Alt-Stralau 37-39,10245
143,Berlin,Berlin,Treskowallee 8,10318
144,Berlin,Berlin,Unter den Linden 6,10117
145,Berlin,Berlin,Badensche Straße 52,10825
146,Berlin,Berlin,Warener Str. 7 c/o BG Klinikum Unfallkrankenhaus Berlin gGmbH,12683
147,Berlin,Berlin,Stromstr. 3b,10555
148,Berlin,Berlin,Köpenicker Allee 39-57,10318
149,Berlin,Berlin,Franklinstraße 28 - 29,10587
150,Berlin,Berlin,Rüdesheimer Str. 50,14197
151,Berlin,Berlin,Am Köllnischen Park 2,10179
152,Berlin,Berlin,Werderscher Markt 13,10117
153,Berlin,Berlin,Ernst-Reuter-Platz 10,10587
154,Berlin,Berlin,Straße des 17. Juni 135,10623
155,Berlin,Berlin,Einsteinufer 43,10587
156,Berlin,Berlin,Bernburger Straße 24-25,10963
157,Berlin,Berlin,Bühringstraße 20,13086
158,Baden-Württemberg,Biberach,Karlstraße 11,88400
159,Nordrhein-Westfalen,Bielefeld,Bethelweg 8,33617
160,Nordrhein-Westfalen,Bielefeld,Ravensberger Straße 10 G,33602
161,Nordrhein-Westfalen,Bielefeld,Interaktion 1,33619
162,Nordrhein-Westfalen,Bielefeld,Universitätsstraße 25,33615
163,Rheinland-Pfalz,Bingen,Berlinstraße 109,55411
164,Nordrhein-Westfalen,Bochum,Springorumallee 20,44795
165,Nordrhein-Westfalen,Bochum,Am Hochschulcampus 1,44801
166,Nordrhein-Westfalen,Bochum,Gesundheitscampus 6-8,44801
167,Nordrhein-Westfalen,Bochum,Immanuel-Kant-Straße 18-20,44803
168,Nordrhein-Westfalen,Bochum,Herner Straße 45,44787
169,Nordrhein-Westfalen,Bochum,Universitätsstraße 150,44801
170,Nordrhein-Westfalen,Bonn,Simrockstraße 4,53113
171,Nordrhein-Westfalen,Sankt Augustin,Grantham-Allee 20,53757
172,Nordrhein-Westfalen,Bonn,Regina-Pacis-Weg 3,53113
173,Brandenburg,Königs Wusterhausen,Schillerstraße 6,15711
174,Brandenburg,Oranienburg,Bernauer Str. 146,16515
175,Brandenburg,Brandenburg,Magdeburger Straße 50,14770
176,Niedersachsen,Braunschweig,Johannes-Selenka-Platz 1,38118
177,Niedersachsen,Braunschweig,Universitätsplatz 2,38106
178,Bremen,Bremen,Campus Ring 1,28759
179,Bremen,Bremen,Universitätsallee 18,28359
180,Bremen,Bremen,Neustadtwall 30,28199
181,Bremen,Bremen,Am Speicher XI 8,28217
182,Bremen,Bremen,Bibliothekstraße 1,28359
183,Bremen,Bremen,Doventorscontrescarpe 172c,28195
184,Bremen,Bremerhaven,An der Karlstadt 8,27568
185,Nordrhein-Westfalen,Brühl,Kaiserstraße 6,50321
186,Nordrhein-Westfalen,Brühl,Willy-Brandt-Straße 1,50321
187,Niedersachsen,Buxtehude,Harburger Straße 6,21614
188,Sachsen,Chemnitz,Straße der Nationen 62,9111
189,Niedersachsen,Clausthal-Zellerfeld,Adolph-Roemer-Straße 2 A,38678
